Feature.ID	ST3_Total_Exon_Reads_fwd_RNA.Seq	SB3_Total_Exon_Reads_fwd_RNA.Seq	SC3_Total_Exon_Reads_fwd_RNA.Seq	SL3_Total_Exon_Reads_fwd_RNA.Seq	SC4_Total_Exon_Reads_fwd_RNA.Seq	SL4_Total_Exon_Reads_fwd_RNA.Seq	ST4_Total_Exon_Reads_fwd_RNA.Seq	SB4_Total_Exon_Reads_fwd_RNA.Seq	SC2_Total_Exon_Reads_fwd_RNA.Seq	SL2_Total_Exon_Reads_fwd_RNA.Seq	SB2_Total_Exon_Reads_fwd_RNA.Seq	ST2_Total_Exon_Reads_fwd_RNA.Seq	SC1_Total_Exon_Reads_fwd_RNA.Seq	SL1_Total_Exon_Reads_fwd_RNA.Seq	SB1_Total_Exon_Reads_fwd_RNA.Seq	ST1_Total_Exon_Reads_fwd_RNA.Seq
KIAA1468	168	751	216	160	514	174	632	75	164	18	793	1172	470	85	2123	750
KIAA1522	39	333	316	129	377	185	109	222	225	12	780	139	289	38	2957	178
KIAA1524	61	57	107	12	83	7	142	0	53	0	238	190	88	26	469	133
KIAA1549	41	53	173	19	367	24	26	19	48	0	173	34	228	53	520	14
KIAA1549L	50	32	23	14	26	2	63	35	61	0	234	42	99	44	762	62
KIAA1551	906	1081	684	208	969	381	3549	244	506	46	1057	6101	1353	154	1056	4461
KIAA1586	28	76	47	10	74	4	114	1	113	0	94	163	41	28	166	104
KIAA1598	66	244	412	315	688	463	156	239	350	31	162	229	450	104	1097	156
KIAA1609	26	217	127	20	192	67	112	42	167	4	274	173	99	19	2399	122
KIAA1614	2	31	5	5	9	7	8	3	2	0	4	12	1	8	28	3
KIAA1644	12	197	19	18	55	113	39	26	116	0	16	26	22	16	57	18
KIAA1671	109	999	534	998	687	537	300	68	449	58	350	568	713	305	2317	382
KIAA1683	4	100	13	9	12	1	98	83	1	0	10	40	7	4	5	12
KIAA1704	31	75	105	42	607	53	71	8	331	0	113	137	66	14	100	69
KIAA1715	78	466	312	179	528	175	195	6	407	5	638	468	342	91	801	312
KIAA1731	171	260	232	70	419	148	553	111	209	1	265	679	155	86	1464	336
KIAA1737	42	237	250	111	134	40	121	40	185	3	148	247	252	65	534	184
KIAA1751	7	0	1	6	0	0	5	2	3	2	7	0	2	10	2	0
KIAA1755	17	40	18	5	13	31	48	89	83	0	8	43	25	4	103	28
KIAA1804	25	47	108	42	131	25	24	3	70	5	38	58	232	28	361	46
KIAA1841	39	96	144	15	112	38	47	9	283	0	255	119	100	44	380	66
KIAA1919	66	130	89	62	80	57	234	35	169	1	164	358	232	55	88	256
KIAA1958	10	39	133	67	44	11	56	4	22	0	68	28	68	22	184	18
KIAA1967	53	235	263	157	102	122	233	21	299	1	245	342	151	35	652	185
KIAA1984	6	6	127	8	79	34	13	0	25	0	7	11	20	7	10	5
KIAA2013	26	102	228	187	121	36	80	4	207	20	169	162	176	50	943	97
KIAA2018	289	677	594	616	961	634	1190	73	700	38	708	1440	680	279	1314	896
KIAA2022	31	11	5	9	1	11	18	0	31	0	4	42	3	21	7	27
KIAA2026	272	706	448	191	839	431	818	137	411	11	526	1132	456	105	1597	688
KIDINS220	258	1415	956	470	1947	557	789	128	1544	52	1928	1533	1123	179	2247	923
KIF11	94	155	217	8	118	24	290	2	241	0	206	335	126	33	716	250
KIF12	4	1	68	29	104	67	0	0	23	1	2	1	31	11	0	0
KIF13A	126	1079	324	383	913	165	211	106	979	21	325	384	752	130	2504	274
KIF13B	136	545	932	581	1991	326	304	43	582	34	398	729	776	159	835	417
KIF14	78	107	146	12	157	123	256	6	108	0	328	160	146	44	1007	131
KIF15	35	58	82	8	109	8	137	95	156	0	291	113	47	34	366	86
KIF16B	62	272	184	120	976	215	134	20	464	7	297	233	293	62	190	125
KIF17	2	3	7	5	0	6	2	5	5	0	1	1	5	1	0	1
KIF18A	38	46	50	5	51	1	94	1	75	0	88	94	33	26	385	57
KIF18B	14	20	62	7	25	12	91	43	76	7	162	33	25	6	345	28
KIF19	5	3	1	3	0	0	4	0	0	0	5	2	2	3	5	0
KIF1A	4	2	2	3	5	0	3	0	14	1	228	2	7	10	0	0
KIF1B	201	1361	865	741	1253	512	312	155	928	107	914	769	850	291	1784	602
KIF1C	80	900	700	515	664	445	231	310	941	83	299	433	397	151	4943	316
KIF20A	25	36	31	3	47	2	67	65	74	0	269	73	44	19	241	57
KIF20B	117	170	268	26	443	79	467	3	85	0	206	514	141	49	709	336
KIF21A	69	718	302	364	613	291	107	16	287	45	553	319	464	154	558	170
KIF21B	103	73	172	33	263	95	436	32	225	15	208	525	85	21	92	227
KIF22	32	86	72	25	56	125	123	12	81	1	181	137	62	15	518	60
KIF23	55	122	115	8	130	2	161	2	227	1	401	139	145	33	1132	117
KIF24	18	57	54	2	72	3	70	101	37	1	87	75	92	28	452	35
KIF25	4	1	6	1	0	0	0	0	5	0	2	1	1	5	0	1
KIF26A	3	29	4	4	50	16	2	0	48	0	1	8	2	1	0	7
KIF26B	17	198	98	10	50	31	23	17	143	1	176	18	36	12	403	12
KIF27	54	126	101	43	273	35	135	3	56	0	104	192	126	57	183	133
KIF2A	174	384	224	64	633	172	485	3	719	27	613	948	466	43	824	594
KIF2B	5	0	0	1	0	0	4	0	0	0	0	0	0	13	0	0
KIF2C	23	28	85	4	83	2	88	54	134	0	136	69	40	17	386	49
KIF3A	86	197	100	43	234	16	181	15	194	0	199	322	161	29	129	148
KIF3B	109	347	875	249	3225	285	503	58	790	66	317	512	483	87	1210	299
KIF3C	9	44	59	14	33	16	18	3	131	1	105	25	18	12	832	14
KIF4A	41	52	92	12	244	3	92	2	66	0	273	69	91	18	777	48
KIF4B	4	0	0	3	0	0	7	0	27	0	0	1	1	19	0	0
KIF5A	14	11	8	8	7	0	13	7	18	0	46	6	3	18	0	3
KIF5B	363	2317	2791	534	8962	1052	1225	231	2580	64	2456	2055	4032	173	5720	1436
KIF5C (NC_000002 149632791..149686923)	2	1	2	0	0	0	3	0	22	0	7	1	2	3	0	3
KIF5C (NC_000002 149793795..149883273)	38	61	10	7	8	10	56	3	90	0	328	83	14	33	30	36
KIF6	18	1	3	4	13	2	22	3	7	0	0	6	5	31	0	2
