Feature.ID	ST3_Total_Exon_Reads_fwd_RNA.Seq	SB3_Total_Exon_Reads_fwd_RNA.Seq	SC3_Total_Exon_Reads_fwd_RNA.Seq	SL3_Total_Exon_Reads_fwd_RNA.Seq	SC4_Total_Exon_Reads_fwd_RNA.Seq	SL4_Total_Exon_Reads_fwd_RNA.Seq	ST4_Total_Exon_Reads_fwd_RNA.Seq	SB4_Total_Exon_Reads_fwd_RNA.Seq	SC2_Total_Exon_Reads_fwd_RNA.Seq	SL2_Total_Exon_Reads_fwd_RNA.Seq	SB2_Total_Exon_Reads_fwd_RNA.Seq	ST2_Total_Exon_Reads_fwd_RNA.Seq	SC1_Total_Exon_Reads_fwd_RNA.Seq	SL1_Total_Exon_Reads_fwd_RNA.Seq	SB1_Total_Exon_Reads_fwd_RNA.Seq	ST1_Total_Exon_Reads_fwd_RNA.Seq
KIAA0232	146	742	648	296	554	202	371	116	630	28	365	876	934	135	1331	473
KIAA0240	165	371	339	100	683	130	583	14	498	0	335	891	271	64	830	516
KIAA0247	139	439	315	232	326	425	579	128	846	45	318	758	466	82	1218	636
KIAA0284	22	347	148	160	299	147	78	64	141	17	110	67	314	23	1194	55
KIAA0317	101	311	191	146	300	124	395	84	292	22	259	496	431	77	1425	347
KIAA0319	29	4	23	2	31	0	19	6	26	0	3	23	23	28	57	11
KIAA0319L	109	307	270	391	576	281	363	287	622	32	297	555	448	119	881	306
KIAA0355	130	345	405	135	387	164	370	16	401	10	168	590	233	61	1466	388
KIAA0368	314	1286	958	774	969	950	642	301	1426	59	841	1710	1170	278	3586	1037
KIAA0391	45	148	76	97	55	75	175	32	163	7	105	245	144	29	595	164
KIAA0408	0	6	0	1	0	0	0	2	2	1	0	0	0	0	3	1
KIAA0430	318	577	362	296	737	228	1250	137	1053	10	777	2013	731	145	1617	998
KIAA0494	318	1328	1639	661	1299	524	996	226	1942	106	2578	1865	1084	217	3224	1297
KIAA0513	44	175	116	32	47	23	125	60	208	4	110	184	79	17	201	209
KIAA0528	140	321	301	99	335	56	428	51	398	3	451	957	495	66	436	544
KIAA0556	50	194	139	60	165	84	192	15	81	9	285	208	169	30	857	98
KIAA0586	125	175	100	116	249	60	357	58	240	2	210	575	235	93	560	341
KIAA0664	15	226	233	522	125	309	126	40	317	26	153	127	159	109	845	89
KIAA0753	67	134	135	45	223	126	206	23	118	1	98	303	143	40	597	134
KIAA0754	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
KIAA0825	52	92	22	23	21	51	38	115	57	0	79	131	39	39	101	61
KIAA0895	16	33	42	45	28	89	8	0	15	15	15	11	36	33	223	10
KIAA0895L	16	88	79	21	121	57	69	4	58	27	220	26	39	15	131	18
KIAA0907	109	237	270	73	400	142	277	5	126	1	373	605	411	57	734	343
KIAA0913	101	448	338	339	201	440	303	170	313	26	1399	393	186	109	743	192
KIAA0922	293	292	73	293	91	227	1242	76	190	20	238	1738	161	140	223	1064
KIAA0930	83	332	137	214	159	180	277	84	561	19	190	397	222	56	570	229
KIAA0947	187	749	449	343	1076	409	738	21	594	25	590	1204	673	134	2284	684
KIAA1009	90	126	105	40	234	37	172	1	191	1	149	294	98	51	230	177
KIAA1024	19	38	23	2	31	30	36	79	42	0	19	26	34	12	61	20
KIAA1024L	7	0	0	1	0	0	1	0	0	0	0	0	1	4	0	0
KIAA1033	316	791	591	353	296	234	1068	12	1288	73	691	2421	1037	184	2370	1443
KIAA1045	7	7	2	2	0	3	16	1	1	0	0	27	2	7	2	12
KIAA1107	28	27	57	10	159	88	39	22	73	0	56	85	73	27	191	52
KIAA1109	646	1980	887	655	2298	635	1951	175	1314	48	2539	3717	1685	375	2879	2118
KIAA1143	105	269	323	114	460	139	331	78	739	16	464	461	238	106	683	331
KIAA1147	217	470	918	416	1981	390	845	81	802	41	662	1336	992	210	868	861
KIAA1161	7	21	157	354	100	99	19	3	134	8	19	17	226	84	188	19
KIAA1191	75	328	472	309	493	74	253	90	593	33	238	351	457	121	689	277
KIAA1199	44	211	141	4	555	133	108	48	1288	2	76	128	1044	27	156	107
KIAA1210	32	2	3	3	1	0	2	64	1	0	0	0	1	28	0	0
KIAA1211	19	125	106	7	109	78	51	14	145	17	20	75	279	29	304	41
KIAA1211L	10	72	54	2	84	1	8	0	67	0	207	38	80	13	239	28
KIAA1217	129	1440	1017	510	2148	472	424	106	1058	63	926	504	899	171	1268	384
KIAA1239	16	13	3	1	8	0	2	0	24	0	0	0	2	35	1	3
KIAA1244	86	42	1022	12	1792	22	32	103	1038	15	1002	58	709	57	267	54
KIAA1257	13	2	2	0	74	0	0	0	8	0	18	1	9	13	3	0
KIAA1279	40	108	138	76	118	74	63	44	284	18	141	155	125	27	397	102
KIAA1324	36	11	171	12	238	6	48	81	263	0	8	99	24	33	22	52
KIAA1324L	51	56	52	19	77	10	88	3	110	5	280	196	38	53	369	115
KIAA1328	35	72	21	14	69	1	122	87	59	0	69	162	41	21	103	90
KIAA1377	69	84	48	11	76	11	109	0	66	0	41	176	84	47	77	81
KIAA1383	28	10	1	21	24	7	96	9	0	1	23	45	25	16	2	31
KIAA1407	47	65	60	14	98	11	134	14	39	13	76	183	68	25	299	83
KIAA1429	140	393	388	165	731	149	385	134	445	20	306	799	588	97	1897	446
KIAA1430	115	442	312	192	520	211	422	26	589	15	633	825	603	70	921	510
KIAA1432	178	650	219	152	234	136	567	136	477	0	294	1049	304	101	861	646
KIAA1456	45	82	93	83	203	53	26	3	101	19	25	46	63	78	5	34
KIAA1462	48	394	156	34	160	128	58	61	933	14	81	159	103	40	1952	109
KIAA1467	26	55	23	46	25	89	37	3	62	5	73	50	28	35	186	35
