Feature.ID	P1_FF_Total_Exon_Reads_fwd_RNA.Seq	P1_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P2_FF_Total_Exon_Reads_fwd_RNA.Seq	P2_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P3_FF_Total_Exon_Reads_fwd_RNA.Seq	P3_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FF_Total_Exon_Reads_fwd_RNA.Seq	P5_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P5_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FF_Total_Exon_Reads_fwd_RNA.Seq
C9orf40	18	10	11	4	36	5	2	56	4	28	32	2	1	21
C9orf41	60	28	296	53	334	12	35	253	34	188	251	17	28	307
C9orf43	29	6	13	6	10	0	1	6	8	13	16	5	1	14
C9orf47	0	1	1	0	0	0	0	0	1	0	0	1	0	2
C9orf50	1	0	1	0	2	0	0	1	2	0	1	7	0	0
C9orf57	8	0	1	0	0	0	1	1	2	0	0	5	0	0
C9orf62	3	0	1	0	0	0	1	0	4	0	0	1	2	0
C9orf64	49	17	138	31	191	5	31	156	29	121	175	23	27	180
C9orf66	8	0	1	0	15	0	1	3	2	3	5	2	2	8
C9orf69	27	30	205	30	211	4	21	185	11	106	186	34	16	125
C9orf72	133	56	357	110	772	16	99	567	55	536	608	27	90	684
C9orf78	121	106	689	97	703	16	66	650	47	428	542	55	71	449
C9orf84	50	0	8	3	9	7	8	6	13	6	4	5	15	3
C9orf85	29	24	84	18	107	5	13	100	9	73	73	11	7	94
C9orf89	4	11	9	0	27	1	8	21	1	9	18	8	3	13
C9orf9	10	4	12	3	21	0	3	26	3	10	21	2	3	14
C9orf91	129	98	661	264	900	38	208	495	112	622	702	157	187	861
C9orf96	10	1	9	4	7	1	5	8	3	3	4	6	4	6
CA1	13	0	0	0	0	0	0	1	3	0	0	3	0	0
CA10	26	0	3	0	3	1	0	0	9	2	1	8	2	3
CA11	10	28	6	8	34	5	7	34	5	19	18	8	3	17
CA12	87	46	30	23	85	5	102	39	25	17	94	17	5	32
CA13	23	10	105	31	40	3	2	30	12	12	8	6	20	15
CA14	18	1	17	3	19	4	1	53	7	14	47	5	2	5
CA15P3	6	0	1	0	2	1	1	2	3	1	0	7	4	1
CA2	7	10	42	15	4	3	4	12	1	1	3	8	4	4
CA3	26	9	10	6	73	1	81	12	9	3	26	1	3	5
CA4	5	0	25	4	23	0	0	15	2	1	6	2	0	2
CA5A	5	0	0	0	0	0	0	0	2	0	1	2	0	0
CA5B	78	27	302	77	424	12	103	256	35	162	288	44	67	279
CA6	9	0	0	0	0	0	3	1	2	0	0	2	0	0
CA7	3	0	0	0	1	0	1	0	0	0	0	0	1	0
CA8	25	12	130	35	17	1	8	27	8	9	85	16	4	18
CA9	2	0	0	0	3	0	0	3	3	0	1	5	0	0
CAAP1	71	47	343	51	394	5	38	282	19	220	356	13	26	360
CAB39	372	145	1392	324	3362	94	404	1959	221	1627	1676	162	313	3124
CAB39L	245	79	2031	276	1755	49	187	1509	93	1700	1554	85	122	2559
CABIN1	198	345	445	265	718	32	179	694	106	548	602	150	91	522
CABLES1	32	38	79	17	76	7	26	90	15	36	54	27	24	60
CABLES2	23	12	65	17	41	3	16	76	15	45	44	7	16	32
CABP1	4	1	4	2	6	0	3	23	5	4	16	2	4	8
CABP2	1	0	0	0	0	0	0	0	0	0	0	3	0	0
CABP4	36	23	61	21	66	1	25	41	14	71	94	13	11	112
CABP5	13	0	1	0	1	7	1	0	5	0	0	214	15	0
CABP7	7	0	1	0	1	3	3	2	3	0	0	2	1	2
CABS1	10	0	0	0	8	0	0	27	3	0	0	2	3	1
CABYR	21	8	2	2	14	1	1	30	7	6	19	1	1	11
CACFD1	9	12	72	19	83	3	13	65	10	39	70	32	14	48
CACHD1	130	88	108	69	323	22	103	511	76	162	218	41	38	161
CACNA1A	55	2	3	1	13	16	9	9	23	4	2	61	16	2
CACNA1B	47	6	52	10	10	2	7	11	17	12	39	24	6	2
CACNA1C	221	324	202	148	346	78	239	806	120	133	412	152	173	320
CACNA1D	195	237	4724	1651	484	29	473	661	74	356	2271	380	73	362
CACNA1E	92	0	0	0	1	6	6	2	22	1	0	41	5	0
CACNA1F	17	0	0	0	2	4	3	3	6	1	0	13	1	0
CACNA1G	49	34	17	6	9	6	7	46	12	21	36	41	11	31
CACNA1H	46	105	629	196	662	32	122	814	87	482	598	97	101	538
CACNA1I	36	3	2	0	0	6	3	1	18	1	1	34	4	0
CACNA1S	36	2	0	0	1	2	11	0	10	0	0	10	6	0
CACNA2D1	98	49	531	106	301	12	61	501	41	218	537	22	54	284
CACNA2D2	41	25	183	74	91	7	42	116	26	144	216	43	24	180
CACNA2D3	56	18	15	10	62	8	34	121	13	21	49	6	4	23
CACNA2D4	39	10	3	7	4	8	9	13	10	9	8	13	4	13
CACNB1	35	28	7	8	41	5	18	58	10	28	48	22	8	17
CACNB2	86	45	157	50	189	13	86	378	31	108	217	13	67	238
CACNB3	32	7	122	36	115	7	29	87	13	61	86	35	21	62
CACNB4	91	11	36	35	183	21	31	176	33	100	95	17	13	104
CACNG1	2	0	0	0	0	1	1	0	1	1	0	5	0	0
CACNG2	18	0	0	0	0	0	1	0	7	0	0	4	1	0
CACNG3	16	0	0	0	0	1	0	0	8	0	0	6	1	1
CACNG4	39	22	35	8	132	3	20	82	29	202	103	26	25	218
CACNG5	3	0	0	0	0	0	1	0	2	0	0	2	0	0
CACNG6	6	0	0	0	0	1	7	0	0	0	0	12	2	0
CACNG7	3	10	0	0	0	1	1	1	2	0	0	26	3	0
CACNG8	60	15	2	3	0	4	6	0	10	0	3	17	2	0
CACTIN	42	38	114	24	209	3	14	194	11	107	114	11	7	134
CACUL1	190	73	697	227	1207	72	264	1077	175	779	778	184	258	1058
CACYBP	127	57	592	85	537	11	43	668	41	324	616	19	81	524
CAD	122	81	189	73	353	14	54	313	37	224	319	57	46	209
CADM1	231	105	1493	218	350	18	124	572	103	1110	793	70	169	2418
CADM2	29	28	48	12	257	10	21	157	27	93	95	32	19	252
CADM3	18	7	1	7	5	6	6	39	8	3	8	22	5	5
CADM4	61	46	135	27	228	6	23	202	22	99	172	20	26	173
CADPS	63	55	187	58	1370	9	31	224	18	17	387	35	16	68
CADPS2	281	158	1297	257	1816	18	151	1385	68	797	1146	65	91	1235
CAGE1	32	0	0	1	0	0	0	2	1	0	0	3	0	1
CALB1	15	1	0	0	0	0	1	3	3	1	2	3	2	0
CALB2	13	1	2	1	2	1	1	6	2	5	1	4	1	1
CALCA	9	0	1	0	17	1	0	12	6	3	3	3	5	2
CALCB	2	0	0	0	2	0	0	0	0	0	1	4	0	0
CALCOCO1	232	190	745	260	1476	54	193	1444	134	880	1068	136	204	1053
CALCOCO2	301	245	1118	318	1559	64	218	1620	192	756	1309	192	162	1188
CALCR	30	0	1	0	0	3	2	0	3	0	3	2	1	0
CALCRL	33	7	119	30	1695	6	28	500	28	82	184	20	16	130
CALD1	1522	2176	2356	1394	7232	732	2524	10452	1583	2808	5634	964	1647	3926
CALHM1	8	1	0	0	0	0	0	0	4	0	0	10	2	0
CALHM2	22	23	26	8	67	11	22	80	14	21	44	31	26	24
CALHM3	1	0	0	0	0	0	0	0	2	0	0	4	0	0
CALM1	835	509	2347	534	4365	218	654	5100	484	2387	3615	370	613	3025
CALM2	518	328	4078	455	5612	45	218	5092	145	2330	4136	127	190	4115
CALM3	322	443	1332	268	2070	195	387	2098	226	921	1555	436	503	1241
CALML3	37	17	3	1	20	1	1	20	2	1	13	3	1	0
CALML4	54	21	86	26	115	6	47	122	15	87	244	14	20	103
CALML5	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CALML6	3	1	0	0	4	0	2	10	4	2	0	4	0	3
CALN1	47	2	12	3	5	5	4	7	13	14	7	27	5	21
CALR	1116	711	10272	896	7314	82	232	6244	152	6614	6946	214	231	7187
CALR3	16	0	0	0	3	0	1	1	0	1	2	1	0	1
CALU	403	243	3140	574	4313	166	592	3532	303	1949	3305	253	489	2861
CALY	3	0	0	0	1	2	0	1	0	0	2	1	0	0
CAMK1	56	32	569	82	200	8	33	197	19	254	349	36	34	237
CAMK1D	39	40	28	23	70	6	22	95	14	18	51	12	14	40
CAMK1G	24	25	6	9	17	10	15	29	6	15	33	30	9	10
CAMK2A	24	15	0	1	4	3	3	18	14	2	5	22	6	6
CAMK2B	31	10	134	70	19	9	28	33	20	49	73	23	28	59
CAMK2D	205	106	810	196	1351	58	164	1355	108	436	878	98	152	662
CAMK2G	122	68	272	101	518	26	137	966	79	314	586	101	82	444
CAMK2N1	41	102	196	88	224	56	172	233	88	115	188	80	215	328
CAMK2N2	6	0	3	0	0	0	0	0	6	1	3	2	1	2
CAMK4	23	16	35	38	101	2	17	51	10	34	50	5	18	108
CAMKK1	26	48	39	22	127	7	20	66	19	50	44	35	10	49
CAMKK2	148	243	2621	874	950	77	281	632	195	1564	1293	338	438	1654
CAMKMT	20	3	15	4	22	3	7	43	1	13	27	0	3	10
CAMKV	13	0	1	0	0	0	2	0	4	0	0	7	1	0
CAMLG	56	20	349	59	346	12	50	358	33	188	285	26	32	314
CAMP	2	0	0	0	2	0	0	0	1	2	0	0	0	0
CAMSAP1	168	75	434	123	512	10	101	571	78	588	501	90	58	728
CAMSAP2	251	147	823	242	1062	38	223	1188	141	691	1008	93	189	956
CAMSAP3	45	24	200	42	201	12	26	142	18	173	213	41	19	261
CAMTA1	98	19	172	61	223	9	60	238	42	133	202	41	38	130
CAMTA2	62	87	124	87	194	38	83	211	55	173	200	108	81	166
CAND1	325	172	1844	324	2369	51	187	2013	126	1032	1887	71	107	1765
CAND2	22	62	12	12	35	9	19	82	10	13	43	18	13	24
CANT1	278	205	3793	778	2186	64	488	1719	201	2107	2404	310	327	3352
CANX	1495	962	19527	2594	14416	319	1252	13008	741	8522	12083	661	839	13823
CAP1	309	343	1611	273	2503	74	238	2130	149	1120	1750	118	183	1535
CAP2	63	24	127	45	227	11	42	338	23	100	238	13	28	153
CAPG	47	17	33	8	316	1	8	291	11	47	91	16	2	62
CAPN1	173	162	380	100	769	42	72	542	60	390	486	90	58	404
CAPN10	20	31	37	16	57	1	8	64	14	46	72	18	5	47
CAPN11	22	0	0	0	2	0	3	4	10	0	1	22	1	1
CAPN12	15	9	3	3	42	7	7	25	14	6	19	10	9	5
CAPN13	30	9	8	12	58	1	5	52	11	18	12	12	2	32
CAPN14	36	7	2	1	3	4	3	12	8	7	3	15	2	2
CAPN2	262	181	1203	276	3246	29	116	1228	82	1182	1429	79	73	744
CAPN3	48	55	34	41	116	3	45	188	19	86	94	22	18	88
CAPN5	79	54	277	57	244	21	35	244	38	226	298	52	77	192
CAPN6	29	14	50	26	278	27	34	376	37	72	168	22	24	18
CAPN7	187	94	757	204	1022	48	124	920	107	528	808	54	100	783
CAPN8	22	8	4	12	26	6	0	18	2	2	15	6	0	10
CAPN9	30	0	2	0	61	3	1	22	6	16	22	10	5	57
CAPNS1	265	216	877	205	1930	74	182	1134	103	841	1059	136	172	929
CAPRIN1	776	400	4939	898	4733	130	451	3501	253	2717	3934	231	309	4159
CAPRIN2	123	101	306	124	501	11	90	575	49	391	469	25	82	523
CAPS	21	52	55	24	187	1	16	106	14	130	131	14	14	95
CAPS2	24	14	22	17	51	2	4	49	7	34	50	3	3	12
CAPSL	6	0	1	0	2	0	0	1	1	1	0	0	1	0
CAPZA1	286	82	1875	345	2242	56	176	1581	119	949	1614	66	141	1497
CAPZA2	193	38	1194	152	1428	22	109	1547	65	527	1260	57	83	956
CAPZA3	5	0	0	0	1	0	1	0	0	0	0	0	0	0
CAPZB	276	332	972	238	1512	70	160	1400	152	865	1304	140	142	1222
CARD10	22	2	66	27	86	3	13	97	11	43	96	28	9	48
CARD11	48	20	18	15	55	3	3	48	13	33	33	16	1	16
CARD14	14	6	10	7	46	2	5	29	7	18	16	13	6	26
CARD16	11	6	10	3	59	0	1	52	10	15	24	2	8	10
CARD17	6	0	0	0	0	0	0	0	2	0	1	1	0	1
CARD18	2	0	0	0	0	0	0	0	0	0	0	1	2	0
CARD6	40	32	34	23	66	16	29	94	22	46	52	18	7	42
CARD8	113	115	210	128	289	13	89	307	44	261	292	69	88	291
CARD9	9	13	5	1	15	0	0	33	3	4	13	2	0	4
CARHSP1	26	27	29	24	73	8	25	66	25	26	42	18	13	28
CARKD	93	51	382	87	552	23	61	433	48	319	462	49	39	478
CARM1	38	114	132	61	232	18	42	226	35	127	181	39	52	145
CARNS1	11	15	3	2	5	4	14	10	9	7	4	9	1	5
CARS	57	37	218	61	302	6	34	273	42	149	221	21	21	230
CARS2	53	43	306	65	363	9	37	339	15	188	293	17	18	191
CARTPT	2	0	10	3	1	0	1	1	2	0	21	5	1	1
CASC1	37	0	23	5	35	0	6	36	9	15	48	9	8	45
CASC3	238	266	723	239	1440	129	330	1254	257	880	1351	287	303	980
CASC4	674	413	3808	734	6000	193	510	3716	358	2987	3809	238	549	5461
CASC5	69	9	39	19	105	5	4	35	12	50	53	5	10	41
CASD1	148	46	1059	206	873	18	84	734	61	500	936	33	111	860
CASK	150	95	588	189	490	37	128	539	76	319	573	66	76	471
CASKIN1	13	6	24	5	6	2	3	15	3	15	25	33	5	8
CASKIN2	36	68	86	53	179	8	43	218	31	95	158	47	23	105
CASP1	38	27	47	23	166	5	16	155	22	44	64	16	14	47
CASP10	117	52	30	29	250	12	42	153	51	51	65	75	32	41
CASP12	17	0	0	0	2	0	1	2	5	1	3	0	0	1
CASP14	33	5	0	4	0	2	2	3	10	1	1	7	1	0
CASP16	2	0	0	0	0	0	0	0	1	0	0	3	0	0
CASP2	53	70	313	118	219	21	73	216	53	204	289	101	40	263
CASP3	72	13	328	90	421	12	63	408	43	203	309	26	45	300
CASP4	64	48	285	67	364	11	27	373	26	201	276	26	19	285
CASP5	19	1	3	0	2	0	2	3	4	1	0	1	0	0
CASP6	34	14	137	28	134	2	9	145	15	72	143	11	4	114
CASP7	75	49	149	26	882	3	51	405	23	230	273	25	57	477
CASP8	66	32	108	32	137	5	15	164	11	72	147	15	10	150
CASP8AP2	203	161	453	142	781	26	139	915	81	551	817	47	64	760
CASP9	21	34	39	27	100	5	23	87	25	46	52	21	20	71
CASQ1	25	3	1	1	11	3	19	46	7	1	6	12	3	3
CASQ2	27	14	24	3	60	10	36	272	15	7	31	15	16	33
CASR	29	0	1	1	0	1	3	0	7	0	0	15	2	0
CASS4	33	8	1	3	18	2	7	16	8	22	7	11	13	4
CAST	1018	593	3538	870	7589	182	575	5530	415	3802	4140	296	410	4795
CASZ1	408	226	1002	364	1255	50	161	1178	128	941	910	125	104	981
CAT	190	50	1068	145	1194	12	43	916	54	549	881	43	43	928
CATSPER1	22	0	0	0	0	0	1	2	9	1	1	17	1	0
CATSPER2	68	53	72	68	65	11	58	84	34	76	124	42	33	62
CATSPER3	14	0	3	3	7	0	8	8	4	7	4	0	0	6
CATSPER4	10	1	1	0	0	0	2	0	0	0	1	1	1	0
CATSPERB	35	17	33	15	30	1	6	48	9	47	42	2	7	61
CATSPERD	22	0	0	0	0	0	0	1	2	0	0	2	2	0
CATSPERG	18	3	12	10	28	3	28	20	11	17	20	15	7	19
CAV1	181	70	292	81	1274	91	200	1666	145	328	1206	84	204	622
CAV2	80	44	91	58	472	26	62	548	88	121	343	33	67	158
CAV3	4	0	0	1	0	0	2	1	1	0	0	2	1	0
CBFA2T2	286	248	699	298	1224	33	252	798	170	1491	1005	190	205	1447
CBFA2T3	20	51	60	57	13	17	29	37	42	42	40	51	23	58
CBFB	86	95	776	160	768	15	107	585	68	389	855	31	94	491
CBL	121	86	222	122	385	66	196	479	120	248	307	144	214	407
CBLB	105	79	365	121	406	25	94	394	53	314	320	76	61	357
CBLC	9	8	144	28	107	3	22	79	12	71	246	34	4	41
CBLL1	179	121	685	148	926	37	150	732	115	749	772	113	134	1175
CBLN1	8	0	0	3	2	0	0	3	10	0	4	12	1	1
CBLN2	11	0	46	9	58	1	1	73	1	5	4	3	2	10
CBLN3	13	1	17	13	25	6	10	15	12	14	13	16	4	28
CBLN4	7	0	0	1	0	0	1	3	3	0	0	0	0	0
CBR1	100	48	291	35	707	2	25	511	16	355	502	22	17	552
CBR3	10	3	15	5	110	6	11	94	5	52	50	5	8	79
CBR4	93	34	1019	250	498	12	57	400	53	283	383	28	53	333
CBS	52	92	457	116	439	3	73	157	35	734	426	33	49	535
CBWD1	73	37	311	51	366	8	34	220	29	242	413	15	26	351
CBWD2	76	50	223	81	354	7	46	337	17	205	350	15	22	226
CBWD3	50	20	91	47	173	2	22	150	23	89	149	16	18	123
CBWD5	35	22	154	19	175	3	10	112	8	66	187	17	7	77
CBWD6	42	47	77	28	149	1	18	167	11	56	121	7	7	68
CBWD7	0	0	0	1	1	0	0	1	0	1	1	0	0	0
CBX1	106	91	628	129	587	60	104	564	83	315	562	95	87	418
CBX2	10	5	14	6	10	0	5	8	8	10	26	8	10	9
CBX3	128	89	1303	207	1114	20	96	850	60	468	979	45	62	705
CBX4	60	74	544	146	484	3	44	304	18	377	384	23	54	571
CBX5	701	609	2433	920	2675	376	1060	2806	742	2462	2892	591	898	3046
CBX6	78	134	258	52	322	28	73	389	35	165	328	70	50	164
CBX7	69	233	157	112	426	88	173	480	121	215	268	191	144	222
CBX8	15	1	48	3	29	0	1	17	4	23	25	8	1	28
CBY1	35	61	174	31	200	9	35	154	16	103	173	53	41	123
CBY3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CC2D1A	81	77	77	41	228	10	21	166	28	88	126	36	23	121
CC2D1B	81	119	261	114	333	27	63	283	59	209	297	79	67	208
CC2D2A	196	124	311	128	272	21	89	493	65	296	457	65	73	400
CC2D2B	17	7	0	1	2	1	5	10	1	0	4	14	7	3
CCAR1	312	226	1520	306	1838	26	136	1579	73	1257	1783	48	78	1473
CCBE1	50	27	12	7	38	13	40	85	35	31	49	22	18	43
CCBL1	15	3	14	5	24	0	4	29	4	16	30	12	6	28
CCBL2	65	32	451	70	445	1	32	420	27	277	483	10	17	459
CCBP2	18	23	4	4	14	6	8	13	14	7	7	32	19	12
CCDC101	30	16	83	9	89	6	15	122	11	72	92	24	12	77
CCDC102A	20	15	77	21	106	4	11	163	12	30	75	12	3	55
CCDC102B	55	25	57	14	37	8	12	53	6	25	86	8	7	25
CCDC103	9	2	5	2	7	0	0	6	2	5	10	1	2	7
CCDC104	91	51	302	65	598	15	64	440	48	276	430	97	47	335
CCDC105	3	0	0	0	0	0	1	0	0	0	0	1	1	0
CCDC106	13	9	24	11	24	3	7	26	4	20	17	5	6	34
CCDC107	22	5	25	9	58	1	8	96	5	30	49	25	7	29
CCDC108	39	0	14	1	7	3	0	6	9	4	10	17	14	7
CCDC109B	11	1	12	9	64	2	12	51	0	18	34	1	1	17
CCDC11	22	2	6	3	15	0	2	23	4	13	24	2	1	13
CCDC110	45	0	86	25	110	5	9	59	3	50	66	3	12	140
CCDC111	61	33	175	40	200	5	26	286	31	99	203	6	5	154
CCDC112	51	28	401	61	353	4	28	297	20	329	341	16	9	392
CCDC113	87	23	130	37	207	14	30	132	16	84	230	51	29	94
CCDC114	14	0	1	2	2	2	0	7	5	1	2	15	6	4
CCDC115	37	73	105	26	286	4	39	196	23	119	164	22	24	177
CCDC116	3	8	0	0	3	1	0	2	5	2	5	2	0	0
CCDC117	83	62	428	113	573	25	109	495	68	291	488	77	104	523
CCDC12	18	23	65	11	113	2	3	102	6	53	67	7	5	57
CCDC120	21	43	73	34	91	40	51	80	36	70	48	54	62	73
CCDC121	20	9	93	15	114	10	18	121	13	53	123	1	7	91
CCDC122	43	4	205	40	87	2	10	121	8	67	113	1	15	135
CCDC124	21	28	59	5	129	2	5	74	5	49	76	3	8	66
CCDC125	131	68	415	149	536	11	82	364	37	466	562	36	56	591
CCDC126	27	10	141	14	119	2	14	133	12	87	122	7	8	105
CCDC127	45	26	224	35	325	2	23	231	33	140	147	13	15	197
CCDC129	55	1	0	0	1	0	2	1	9	1	1	9	1	1
CCDC13	11	3	1	0	9	0	0	12	15	14	13	3	0	8
CCDC130	38	18	99	10	191	3	15	194	16	93	153	24	6	129
CCDC132	118	41	428	99	718	5	55	492	34	330	467	19	34	443
CCDC134	17	27	67	11	110	4	7	80	12	68	59	11	8	70
CCDC135	17	0	1	0	1	3	3	0	5	0	1	6	2	0
CCDC136	95	80	130	58	328	2	48	425	23	167	294	53	36	255
CCDC137	35	40	91	14	231	8	25	164	9	120	120	6	4	104
CCDC138	30	9	69	11	95	3	6	69	4	52	83	8	4	65
CCDC14	179	142	630	236	953	27	95	855	45	913	1097	27	70	981
CCDC140	6	0	0	0	0	0	0	0	3	0	0	0	0	0
CCDC141	63	15	7	16	26	1	14	39	10	47	16	8	22	272
CCDC142	59	95	81	35	98	4	25	105	20	78	84	35	6	70
CCDC144A	285	160	22	11	298	14	67	715	25	421	544	27	74	935
CCDC144NL	140	9	6	13	5	7	9	22	19	23	16	24	25	33
CCDC146	108	49	115	42	120	3	19	269	21	111	182	12	9	131
CCDC147	27	6	10	7	13	0	2	24	4	8	23	0	2	11
CCDC148	117	30	17	14	34	5	18	55	15	11	50	13	3	16
CCDC149	133	80	551	143	364	10	60	364	35	406	383	34	48	508
CCDC15	56	4	83	33	474	3	18	118	10	195	32	10	11	226
CCDC150	38	1	0	0	2	2	0	4	3	4	10	4	1	4
CCDC151	7	1	0	1	1	0	0	4	4	0	1	6	3	0
CCDC152	35	24	117	22	195	35	43	107	22	125	134	9	35	219
CCDC153	4	0	1	2	2	2	1	1	0	3	3	1	0	3
CCDC154	5	15	5	5	12	1	1	10	0	2	7	3	0	4
CCDC155	16	0	0	0	0	1	0	0	3	1	0	4	1	0
CCDC157	13	2	11	6	32	1	2	14	4	8	22	4	0	12
CCDC158	40	23	12	2	32	1	3	56	2	14	31	5	12	11
CCDC159	48	38	161	53	181	4	16	145	14	131	209	13	12	133
CCDC160	11	0	43	7	38	0	0	34	1	26	31	0	1	14
CCDC164	19	3	0	0	1	1	0	1	7	1	3	3	0	0
CCDC166	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC167	9	1	24	6	19	2	1	21	1	12	30	4	5	19
CCDC168	186	1	1	2	3	1	2	7	13	3	2	12	4	4
CCDC169	4	0	1	0	11	0	3	12	0	30	17	0	1	34
CCDC169-SOHLH2	30	4	1	1	22	3	2	6	2	69	13	1	10	52
CCDC17	16	22	17	11	10	3	7	19	3	9	18	13	1	6
CCDC170	30	21	12	6	32	2	6	49	7	12	20	1	17	27
CCDC171	72	29	128	39	146	4	15	198	16	96	170	14	8	123
CCDC172	14	0	0	0	0	0	2	0	5	0	0	6	1	1
CCDC173	19	12	13	2	2	0	0	6	3	3	14	0	0	4
CCDC174	99	63	264	59	431	8	44	420	46	213	327	38	28	285
CCDC175	36	0	4	3	0	1	0	0	0	3	5	4	1	1
CCDC176	49	31	63	19	187	11	31	143	9	83	139	3	18	61
CCDC177	11	0	2	1	0	0	0	0	4	0	0	7	0	0
CCDC178	41	6	33	12	70	5	10	137	12	36	120	5	4	41
CCDC18	50	7	59	25	77	0	13	85	10	65	97	7	8	53
CCDC19	18	0	0	2	11	0	0	9	6	3	5	1	5	1
CCDC22	31	8	111	20	130	1	16	130	3	89	121	12	1	139
CCDC23	22	47	72	16	71	1	14	81	13	50	111	3	5	69
CCDC24	16	25	55	9	79	4	9	52	3	40	57	11	1	46
CCDC25	111	89	685	112	764	24	76	669	54	370	415	43	64	543
CCDC27	11	0	0	0	0	1	0	0	1	0	1	2	0	0
CCDC28A	49	27	212	26	212	3	17	189	11	159	161	11	15	270
CCDC28B	9	6	3	2	7	1	5	23	2	3	10	10	3	3
CCDC3	46	98	47	26	178	20	116	379	51	85	124	29	203	307
CCDC30	60	10	46	31	55	7	10	58	18	29	61	6	7	47
CCDC33	28	0	0	3	0	1	3	2	5	0	0	14	1	0
CCDC34	42	21	126	21	103	2	26	71	13	52	112	12	14	109
CCDC36	26	7	3	7	6	5	11	15	10	2	5	14	2	4
CCDC37	7	5	1	0	0	0	0	0	3	0	0	1	0	0
CCDC38	20	0	0	0	0	0	0	0	4	0	0	1	0	0
CCDC39	24	0	1	1	4	1	3	9	4	5	0	2	2	11
CCDC40	72	55	128	65	80	8	18	89	22	88	185	23	17	70
CCDC41	69	29	232	74	294	3	36	281	18	195	256	10	37	262
CCDC42	11	1	0	0	0	2	3	0	2	1	0	4	0	0
CCDC42B	2	0	2	0	2	0	0	3	1	0	1	11	0	0
CCDC43	58	34	143	37	388	20	41	293	29	186	285	31	37	266
CCDC47	475	161	2735	419	3283	41	173	2211	160	1668	2374	123	142	2710
CCDC48	13	14	37	9	30	8	11	44	11	12	32	16	9	36
CCDC50	418	229	1533	483	1593	83	323	2172	239	1414	1779	154	286	1460
CCDC51	14	10	88	7	96	2	3	71	5	38	82	13	4	71
CCDC53	53	51	362	64	333	2	24	288	21	164	237	5	4	244
CCDC54	10	0	0	0	0	0	0	0	1	0	0	0	0	0
CCDC57	95	85	147	74	234	8	29	290	28	165	284	24	13	181
CCDC58	20	18	118	18	126	0	8	87	7	63	110	5	9	95
CCDC59	47	36	252	54	296	3	20	322	15	130	261	6	19	195
CCDC6	305	183	1204	360	2023	98	338	1541	164	910	1337	207	217	1354
CCDC60	35	11	25	7	44	0	3	25	19	19	27	13	4	31
CCDC61	15	13	21	8	46	1	6	42	7	17	30	12	2	27
CCDC62	27	0	9	1	9	0	3	17	4	3	12	4	3	15
CCDC63	13	0	0	0	0	0	0	0	0	0	0	5	0	0
CCDC64	26	9	107	27	67	1	12	39	5	93	117	13	6	41
CCDC64B	25	18	48	10	107	5	4	85	2	76	61	6	2	63
CCDC65	15	1	3	0	4	1	1	3	6	3	8	0	5	7
CCDC66	94	82	317	85	370	16	50	403	44	249	443	31	24	268
CCDC67	32	12	48	6	31	0	1	21	1	25	141	0	1	63
CCDC68	23	11	51	13	110	6	19	169	14	69	53	10	8	54
CCDC69	73	157	119	62	203	36	104	504	68	102	226	89	77	141
CCDC7	43	57	75	36	91	0	28	103	18	90	156	6	14	85
CCDC70	6	0	0	0	0	0	0	1	0	0	0	3	0	0
CCDC71	18	21	95	23	111	4	9	71	10	64	88	8	5	81
CCDC71L	24	13	158	43	224	8	28	201	24	73	154	19	27	104
CCDC73	21	0	0	0	2	0	0	2	3	0	3	1	2	3
CCDC74A	20	18	32	9	52	0	11	87	10	97	75	7	15	39
CCDC74B	9	4	11	0	78	4	3	29	0	57	28	5	5	76
CCDC75	24	14	63	9	150	3	8	112	8	73	105	17	3	66
CCDC77	44	21	168	42	124	6	17	136	15	60	117	23	7	107
CCDC78	5	0	3	1	5	0	2	1	5	4	6	6	1	9
CCDC79	18	0	5	0	0	0	1	3	1	0	1	2	0	0
CCDC8	39	92	32	14	152	13	30	168	27	60	120	33	13	50
CCDC80	430	1532	299	261	972	112	660	1854	340	806	1243	455	334	949
CCDC81	22	2	6	1	11	0	2	17	2	7	18	8	6	10
CCDC82	83	35	103	41	371	19	50	362	32	125	223	22	25	172
CCDC83	29	5	6	0	6	0	1	3	2	8	1	1	2	11
CCDC84	29	27	38	15	94	1	15	86	7	46	67	8	3	56
CCDC85A	18	27	17	9	28	2	9	61	12	22	96	8	11	9
CCDC85B	11	28	29	8	40	7	26	49	15	12	31	27	9	33
CCDC85C	69	50	252	83	329	12	63	318	40	247	402	77	30	224
CCDC86	51	36	109	36	250	11	27	193	20	150	148	18	37	253
CCDC87	8	7	12	3	8	0	1	6	1	6	11	16	1	4
