Feature.ID	P1_FF_Total_Exon_Reads_fwd_RNA.Seq	P1_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P2_FF_Total_Exon_Reads_fwd_RNA.Seq	P2_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P3_FF_Total_Exon_Reads_fwd_RNA.Seq	P3_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FF_Total_Exon_Reads_fwd_RNA.Seq	P5_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P5_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FF_Total_Exon_Reads_fwd_RNA.Seq
VIPR1	162	85	548	118	796	21	83	392	80	584	728	87	52	735
VIPR2	23	21	59	12	189	12	18	195	23	32	70	23	11	27
VIT	49	38	2	6	21	5	30	44	20	21	44	9	13	31
VKORC1	20	35	112	32	209	12	41	129	27	87	151	49	46	122
VKORC1L1	23	4	96	32	151	5	30	84	20	54	95	12	57	99
VLDLR	113	21	649	136	155	2	97	273	14	170	470	24	34	284
VMA21	120	84	683	160	941	51	120	737	72	416	731	28	132	760
VMAC	28	46	86	25	140	4	19	129	8	113	115	17	13	108
VMO1	2	0	0	0	5	0	0	6	0	1	0	3	0	2
VMP1	160	127	1697	693	3289	51	350	2360	99	784	1577	93	216	1407
VN1R1	20	11	36	23	27	3	14	31	6	15	20	17	0	28
VN1R2	7	0	0	2	1	1	3	2	5	1	0	4	0	1
VN1R4	3	0	0	0	0	0	1	0	2	0	0	3	1	0
VN1R5	3	0	0	0	0	0	1	0	0	0	0	5	0	0
VNN1	44	1	9	1	8	3	6	21	10	8	3	20	3	5
VNN2	15	5	13	10	24	0	3	38	8	10	11	0	1	13
VOPP1	90	91	380	143	554	25	133	691	70	369	408	106	86	516
VPRBP	132	77	337	118	581	17	88	425	74	283	415	100	44	421
VPREB1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
VPREB3	3	0	0	0	1	0	0	2	0	1	1	2	0	2
VPS11	136	83	338	79	550	8	30	528	35	302	316	29	50	375
VPS13A	443	153	1506	591	1961	51	317	2039	145	1403	1722	98	236	1988
VPS13B	639	455	1700	882	4808	89	530	2685	260	2205	2151	185	339	2888
VPS13C	942	486	2968	1211	5407	168	868	5314	537	3295	4354	373	627	4928
VPS13D	796	709	2220	973	3387	128	712	3309	428	1829	2275	407	375	2482
VPS16	50	29	148	29	276	4	25	229	13	128	223	14	7	219
