Feature.ID	B1_Total_Exon_Reads_fwd_RNA.Seq	B2_Total_Exon_Reads_fwd_RNA.Seq	B3_Total_Exon_Reads_fwd_RNA.Seq	B4_Total_Exon_Reads_fwd_RNA.Seq	B5_Total_Exon_Reads_fwd_RNA.Seq	B6_Total_Exon_Reads_fwd_RNA.Seq	B7_Total_Exon_Reads_fwd_RNA.Seq	B8_Total_Exon_Reads_fwd_RNA.Seq	B9_Total_Exon_Reads_fwd_RNA.Seq	B10_Total_Exon_Reads_fwd_RNA.Seq
KIFC3	96	154	9	70	81	8	92	37	30	218
KIN	475	234	164	284	354	45	261	393	75	1029
KIR2DL1	0	1	3	0	0	9	2	2	8	12
KIR2DL3	0	0	3	0	0	12	10	8	12	13
KIR2DL4	1	0	5	1	0	6	9	2	4	3
KIR2DS4	0	0	6	0	2	6	3	3	10	8
KIR3DL1	0	0	6	0	0	9	7	1	9	10
KIR3DL2	1	1	1	0	0	4	5	1	7	8
KIR3DL3	0	0	3	0	1	7	1	4	9	13
KIRREL	17	36	14	22	10	7	19	24	8	58
KIRREL2	3	0	4	1	0	7	10	3	8	7
KIRREL3	3	0	8	6	2	5	8	4	14	18
KISS1	1	8	6	2	5	2	3	1	1	14
KISS1R	0	0	2	1	1	0	0	3	0	1
KIT	548	1226	1920	131	12	71	70	152	114	504
KITLG	73	2186	104	127	106	29	148	113	37	753
KL	18	24	7	1	4	14	19	6	22	55
KLB	11	8	13	16	1	25	19	9	26	46
KLC1	1532	845	368	992	550	53	846	867	157	2633
KLC2	141	61	37	83	62	12	63	87	14	130
KLC3	5	8	3	4	35	4	11	5	1	26
KLC4	270	127	107	84	94	23	110	49	36	411
KLF1	1	0	0	0	0	1	2	0	1	0
KLF10	357	368	364	126	82	58	108	123	56	931
KLF11	65	145	123	160	126	19	76	247	31	440
KLF12	549	145	157	37	47	56	279	348	56	164
KLF13	724	849	183	48	145	53	211	179	58	370
KLF14	0	0	0	0	0	3	1	1	2	3
KLF15	198	158	1	50	123	1	31	13	9	115
KLF16	45	54	24	45	28	3	22	22	6	130
KLF17	12	2	11	4	5	24	23	18	15	18
KLF2	81	19	4	18	2	1	8	18	2	38
KLF3	4805	2602	1817	2379	1957	230	1341	731	408	15557
KLF4	130	296	165	469	165	12	137	192	22	323
KLF5	8414	2772	5193	6965	3704	469	3540	1601	802	30395
KLF6	3323	1360	809	1177	977	58	909	2456	200	3142
KLF7	541	285	253	202	151	56	163	383	88	1924
KLF8	279	305	176	51	234	26	51	351	33	150
KLF9	388	151	45	51	61	19	154	64	27	178
KLHDC1	133	72	45	13	31	13	72	20	13	78
KLHDC10	1010	944	428	721	552	67	443	295	132	3362
KLHDC2	965	1331	388	253	358	60	418	449	87	1221
KLHDC3	462	576	216	277	396	29	174	316	66	1761
KLHDC4	170	185	57	135	79	8	62	56	23	339
KLHDC5	530	455	179	306	383	35	198	250	86	1277
KLHDC7A	273	1255	6	116	395	76	87	489	55	653
KLHDC7B	1	1	3	25	0	1	4	1	10	8
KLHDC8A	0	0	2	0	0	7	10	14	7	6
KLHDC8B	83	377	31	38	77	8	41	57	7	134
KLHDC9	30	34	31	12	8	5	31	36	5	55
KLHL1	0	1	4	0	0	15	24	18	32	45
KLHL10	0	2	2	0	0	6	3	5	8	5
KLHL11	306	339	170	190	179	29	128	257	33	1022
KLHL12	967	1328	460	540	385	59	691	551	123	1965
KLHL13	190	35	103	3	3	17	22	15	20	38
KLHL14	2	4	10	0	1	12	16	13	23	31
KLHL15	410	293	155	134	172	25	186	325	32	1165
KLHL17	11	2	6	14	24	0	11	9	2	30
KLHL18	293	290	77	198	202	23	141	177	52	741
KLHL2	597	283	148	218	272	63	276	92	79	871
KLHL20	440	432	258	221	235	32	239	567	79	1132
KLHL21	163	157	91	61	119	11	70	107	16	337
KLHL22	94	90	35	42	81	15	54	95	18	306
KLHL23	6	9	0	0	0	0	0	0	0	14
KLHL24	6919	4275	1195	1405	3263	151	1491	1628	346	13523
KLHL25	27	54	11	27	33	3	15	36	19	118
KLHL26	26	18	13	16	13	2	19	12	4	75
KLHL28	843	661	277	415	312	57	365	313	85	2289
KLHL29	255	58	43	22	152	29	101	28	38	45
KLHL3	300	249	205	40	107	52	270	59	108	350
KLHL30	8	11	2	0	1	2	4	1	4	6
KLHL31	53	30	62	67	37	19	33	36	36	117
KLHL32	5	3	10	2	9	13	18	11	19	81
KLHL33	0	0	3	0	0	2	1	4	4	1
KLHL34	0	0	0	0	0	0	1	0	0	1
KLHL35	3	4	3	4	3	0	7	5	1	1
KLHL36	153	123	62	90	58	13	81	50	20	552
KLHL38	0	0	1	1	0	7	4	1	4	8
KLHL4	2	4	3	4	6	16	13	7	20	45
KLHL5	509	330	198	241	163	63	271	136	111	1218
KLHL6	19	123	13	20	21	22	16	18	34	138
KLHL7	427	353	213	224	368	29	176	185	53	936
KLHL8	564	600	227	553	477	29	231	351	57	1837
KLHL9	1405	1374	338	569	238	31	554	641	176	1909
KLK1	0	2	0	1	0	1	1	1	3	0
KLK10	2	0	3	1	1	7	8	5	9	17
KLK11	0	1	2	0	0	3	3	1	4	31
KLK12	1	0	2	0	0	4	5	2	4	4
KLK13	2	0	0	0	0	4	7	3	4	6
KLK14	0	0	1	0	0	2	2	5	1	5
KLK15	1	0	1	0	0	7	6	2	3	1
KLK2	1	2	5	1	1	10	12	8	14	10
KLK3	1	3	0	0	0	7	3	3	5	1
KLK4	0	0	1	0	0	0	2	1	5	3
KLK5	0	0	2	0	0	1	2	5	2	4
KLK6	0	11	0	0	0	3	3	5	6	3
KLK7	2	0	3	0	0	6	4	4	7	3
KLK8	1	3	2	0	1	5	1	2	3	1
KLK9	0	0	2	0	0	0	1	1	1	2
KLKB1	8	18	9	2	0	13	17	10	9	28
KLLN	18	32	16	9	7	17	38	15	18	81
KLRB1	4	23	4	4	2	6	5	4	3	6
KLRC1	11	9	3	0	5	5	13	6	12	21
KLRC2	2	7	4	0	7	6	10	3	5	19
KLRC3	0	2	6	1	4	4	10	4	7	8
KLRC4	0	1	0	0	0	0	0	0	1	0
KLRC4-KLRK1	42	19	17	6	16	15	42	15	27	60
KLRD1	5	5	11	3	1	14	8	6	6	22
KLRF1	1	5	39	0	9	3	5	4	7	19
KLRF2	0	0	2	0	3	1	5	3	2	5
KLRG1	1	8	5	3	7	4	9	4	14	21
KLRG2	0	0	1	0	5	2	2	4	2	3
KLRK1	3	22	0	4	0	0	1	0	0	1
KMO	22	21	30	35	9	48	24	31	45	51
KNCN	3	0	3	0	0	2	9	3	9	2
KNDC1	0	0	3	0	0	2	7	3	4	1
KNG1	0	2	1	1	1	16	9	11	18	20
KNTC1	635	531	337	756	1667	68	234	1535	142	2066
KPNA1	924	862	314	797	587	63	457	443	168	2230
KPNA2	512	952	219	864	1102	33	135	1069	92	1955
KPNA3	869	879	402	901	418	55	317	165	96	1815
KPNA4	2698	1674	818	1506	1185	165	880	1127	250	5467
KPNA5	505	240	67	277	234	27	277	127	59	1113
KPNA6	1519	1451	603	870	932	106	571	724	198	3028
KPNA7	0	4	6	3	0	8	6	3	10	19
KPNB1	5043	3468	1621	3024	2139	217	1434	3286	509	9787
KPRP	1	1	12	8	6	7	5	6	8	12
KPTN	7	7	4	13	12	4	6	22	6	20
KRAS	1054	909	749	869	395	52	415	498	114	2672
KRBA1	51	43	24	94	35	8	35	55	15	141
KRBA2	134	103	48	68	32	6	68	56	19	205
KRBOX1	1	9	4	0	6	1	3	0	10	13
KRCC1	846	828	417	151	145	43	294	123	59	1555
KREMEN1	600	634	171	325	67	69	159	167	63	2394
KREMEN2	1	1	0	1	0	1	3	1	0	3
KRI1	253	331	98	244	239	20	140	144	54	720
KRIT1	1499	926	492	983	977	87	738	762	170	2631
KRR1	2227	2094	645	1176	1202	128	821	617	180	5827
KRT1	1	3	5	0	0	13	8	5	16	11
KRT10	109	70	40	38	45	16	38	56	29	259
KRT12	5	4	34	18	5	4	3	40	11	10
KRT13	7353	2249	18983	1124	24	109	14079	57	68	28289
KRT14	2	37	23	157	1	7	7	18	8	215
KRT15	109	46	11592	287	68	10	255	52	73	574
KRT16	8	28	33	74	3	2	10	5	3	69
KRT17	969	4047	250	4947	109	251	2304	66	1256	13178
KRT18	4221	17908	1095	2956	2309	196	1282	2271	474	28482
KRT19	27420	33861	12034	8297	4997	1027	10129	4920	3360	76998
KRT2	1	1	11	0	0	17	6	9	11	19
KRT20	4710	7632	11306	5752	2907	104	33	5409	30	199
KRT222	2	6	2	0	5	14	11	5	11	32
KRT23	188	7045	6	102	346	10	18	19	15	2153
KRT24	0	1	5	0	1	10	14	5	11	9
KRT25	0	0	3	0	2	7	8	1	16	14
KRT26	0	0	1	0	0	8	7	5	11	10
KRT27	0	4	3	0	0	2	3	4	6	12
KRT28	1	0	3	0	0	5	5	7	7	7
KRT3	1	0	4	0	1	9	6	1	9	4
KRT31	0	1	4	0	0	5	9	2	2	4
KRT32	0	0	5	0	0	3	6	2	2	6
KRT33A	2	2	1	1	2	3	1	2	6	100
KRT33B	0	2	2	0	0	1	3	2	5	17
KRT34	0	0	2	0	0	7	6	2	7	4
KRT35	1	0	4	0	0	7	5	3	9	2
KRT36	0	0	2	3	0	7	2	1	4	5
KRT37	0	1	4	0	0	4	6	4	8	49
KRT38	1	0	6	0	0	6	5	7	8	6
KRT39	1	0	5	0	0	16	8	3	14	11
KRT4	0	2	266	1	0	8	2	3	13	5
KRT40	0	0	1	1	0	9	5	10	12	7
KRT5	1143	1756	1471	50	4	19	347	7	260	251
KRT6A	3	38	1131	3	1	2	5	3	17	72
KRT6B	0	0	4	0	0	3	4	3	14	6
KRT6C	1	0	7	0	0	10	6	1	5	9
KRT7	27143	34740	10922	6739	6330	455	7644	11962	2501	1600
KRT71	0	0	3	0	2	5	5	4	7	10
KRT72	0	0	0	0	0	7	3	1	9	5
KRT73	1	0	6	1	0	11	9	1	5	6
KRT74	0	2	4	0	1	9	6	4	8	7
KRT75	0	0	0	0	0	8	2	5	15	4
KRT76	0	1	4	0	0	11	5	5	7	9
KRT77	2	1	4	0	0	11	10	4	19	8
KRT78	1	7	1	1	1	1	7	1	5	6
KRT79	0	0	1	0	0	7	7	0	5	9
KRT8	11558	18728	4631	4634	2125	365	3688	3045	1449	37818
KRT80	107	131	379	90	64	28	40	359	36	787
KRT81	0	0	5	0	0	6	2	1	5	6
KRT82	1	4	3	0	0	4	4	0	9	7
KRT83	0	1	1	0	1	6	2	2	5	41
KRT84	0	0	1	0	0	8	6	4	8	11
KRT85	1	0	0	0	0	4	4	4	6	1
KRT86	1	0	4	0	0	9	2	4	7	8
KRT9	2	0	4	0	0	8	7	5	15	10
KRTAP1-1	0	0	0	0	0	1	2	3	0	2
KRTAP1-3	0	0	0	0	0	2	1	1	1	0
KRTAP1-4	0	0	0	0	0	0	0	1	1	0
KRTAP1-5	0	0	1	0	0	7	1	4	4	8
KRTAP10-10	0	0	0	0	0	1	0	0	0	0
KRTAP10-11	0	0	0	0	1	0	1	0	1	1
KRTAP10-12	0	0	0	0	0	0	0	0	1	2
KRTAP10-4	0	0	0	0	0	1	0	0	3	0
KRTAP10-6	1	0	0	0	0	0	0	0	0	0
KRTAP10-7	0	0	0	0	0	0	1	0	0	0
KRTAP10-9	0	0	2	0	0	0	0	0	1	1
KRTAP11-1	0	0	1	0	0	1	3	1	2	4
KRTAP12-3	0	0	0	0	0	0	1	0	0	0
KRTAP13-1	0	0	1	0	0	1	4	1	4	6
KRTAP13-2	0	0	4	0	0	2	2	1	5	2
KRTAP13-3	0	0	2	0	0	2	1	1	1	0
KRTAP13-4	0	0	1	0	0	2	0	1	1	2
KRTAP15-1	0	1	2	0	0	0	0	2	3	0
KRTAP16-1	0	0	2	0	0	4	4	0	5	1
KRTAP17-1	1	0	1	0	0	0	0	0	0	0
KRTAP19-1	0	0	1	0	0	0	0	0	0	1
