Feature.ID	B1_Total_Exon_Reads_fwd_RNA.Seq	B2_Total_Exon_Reads_fwd_RNA.Seq	B3_Total_Exon_Reads_fwd_RNA.Seq	B4_Total_Exon_Reads_fwd_RNA.Seq	B5_Total_Exon_Reads_fwd_RNA.Seq	B6_Total_Exon_Reads_fwd_RNA.Seq	B7_Total_Exon_Reads_fwd_RNA.Seq	B8_Total_Exon_Reads_fwd_RNA.Seq	B9_Total_Exon_Reads_fwd_RNA.Seq	B10_Total_Exon_Reads_fwd_RNA.Seq
KRTAP19-3	0	0	0	0	1	3	2	0	2	1
KRTAP19-4	0	0	0	0	0	0	0	0	1	0
KRTAP19-6	0	0	1	0	0	0	0	1	2	1
KRTAP19-7	0	0	0	0	0	0	0	1	0	0
KRTAP19-8	0	0	0	0	0	0	1	0	0	0
KRTAP2-1	0	0	0	0	0	2	4	0	0	2
KRTAP2-2	0	0	0	0	0	3	1	1	6	0
KRTAP2-3	0	0	0	0	0	1	3	1	2	2
KRTAP2-4	0	0	0	0	0	1	0	1	2	0
KRTAP20-2	0	0	0	0	0	0	0	1	0	3
KRTAP20-3	0	0	0	0	0	0	0	1	0	3
KRTAP21-1	0	0	1	0	0	1	0	1	1	4
KRTAP21-2	0	0	0	0	0	1	1	0	0	1
KRTAP21-3	0	0	0	0	0	0	0	1	0	0
KRTAP22-2	0	0	1	0	0	0	1	0	0	0
KRTAP23-1	0	0	0	0	0	0	0	0	1	0
KRTAP24-1	0	0	1	0	0	0	6	0	4	4
KRTAP25-1	0	0	2	0	0	2	3	2	3	4
KRTAP26-1	0	0	3	0	0	3	7	4	9	11
KRTAP27-1	1	0	0	0	0	0	2	0	4	5
KRTAP3-1	0	0	2	0	0	0	2	1	3	1
KRTAP3-2	0	0	2	0	0	4	6	5	4	3
KRTAP3-3	0	0	1	0	0	0	0	2	2	0
KRTAP4-1	0	1	4	1	1	0	4	1	1	4
KRTAP4-11	0	0	1	0	0	3	2	3	5	0
KRTAP4-12	0	0	1	0	0	1	4	0	2	2
KRTAP4-2	0	0	0	0	0	0	0	2	1	0
