Feature.ID	B13_FFPE_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B13_FF_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B11_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B11_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B11_FFPE_T2gII_Total_Exon_Reads_fwd_RNA.Seq	B11_FF_T2gII_Total_Exon_Reads_fwd_RNA.Seq	B12_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B12_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B12_FFPE_T1gII_Total_Exon_Reads_fwd_RNA.Seq	B12_FF_T1gII_Total_Exon_Reads_fwd_RNA.Seq	B14_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B14_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B14_FFPE_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B14_FF_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B15_FF_T2grIII_Total_Exon_Reads_fwd_RNA.Seq	B15_FFPE_T2grIII_Total_Exon_Reads_fwd_RNA.Seq
SLC37A4	0	34	1	29	0	185	31	427	1	399	9	482	10	808	658	4
SLC38A1	70	3049	38	508	64	9361	1815	17391	152	21225	241	21511	245	40143	36237	494
SLC38A10	4	264	4	203	18	879	195	2363	26	1730	37	2396	32	2538	3054	76
SLC38A11	0	8	0	5	0	57	5	96	0	11	1	234	4	227	28	0
SLC38A2	112	4490	52	1721	106	14831	2430	31620	222	32427	357	30993	375	68388	30675	323
SLC38A3	0	0	0	0	0	0	2	1	0	0	0	5	1	9	10	0
SLC38A4	1	25	0	2	0	21	16	415	0	6	14	1044	6	873	5491	30
SLC38A5	1	20	0	2	1	71	4	85	0	12	0	219	0	126	43	1
SLC38A6	3	57	0	56	2	407	24	292	4	135	9	682	4	577	600	10
SLC38A7	3	112	2	70	5	302	33	212	5	180	10	654	11	410	592	14
SLC38A8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0
SLC38A9	5	91	1	77	2	397	63	805	1	498	10	1189	5	1218	784	10
SLC39A1	17	531	7	63	40	2576	256	3688	13	3068	61	2678	29	4917	2937	51
SLC39A10	4	290	1	105	9	1793	168	2023	7	948	29	2816	36	5768	2846	31
SLC39A11	4	209	7	102	10	1328	264	3638	27	3304	20	1298	9	1778	2787	41
SLC39A12	0	0	0	0	0	2	0	0	0	0	0	6	0	12	26	0
SLC39A13	3	73	0	25	5	383	12	453	2	414	8	389	3	383	277	7
SLC39A14	3	102	1	55	8	1601	25	496	1	360	14	1702	5	799	1431	35
SLC39A2	1	28	1	0	0	1	0	6	0	1	2	129	0	23	38	0
SLC39A3	1	72	1	23	2	297	12	358	1	401	2	370	2	623	705	9
SLC39A4	0	19	0	7	2	216	6	172	2	110	0	133	4	292	139	4
SLC39A5	0	2	0	2	0	6	3	3	0	0	0	4	0	7	12	0
SLC39A6	18	702	16	399	48	8680	683	9346	45	8555	121	9612	89	18418	6242	100
SLC39A7	14	463	16	166	36	3805	198	2414	18	1721	33	2848	40	3860	5860	82
SLC39A8	2	86	1	34	7	1545	29	513	2	336	5	998	9	1113	407	6
SLC39A9	11	451	8	207	26	5385	283	6472	26	3463	55	4986	31	9029	9270	69
SLC3A1	0	2	0	0	0	31	0	28	0	19	0	27	0	49	80	0
SLC3A2	6	565	7	134	13	1688	58	1325	10	625	11	2265	49	3060	6195	80
SLC40A1	11	257	5	73	24	3408	250	5064	9	728	68	4153	31	4353	2031	66
SLC41A1	8	410	2	124	8	1005	165	1485	11	607	42	2639	47	2920	2184	40
SLC41A2	0	64	0	15	3	491	3	101	0	2	2	659	0	56	841	20
SLC41A3	0	126	2	29	3	548	28	1216	1	893	11	611	8	1343	963	7
SLC43A1	1	11	1	9	0	104	6	163	1	141	0	208	2	220	223	8
SLC43A2	1	37	0	28	5	348	4	187	1	79	7	515	1	445	469	9
SLC43A3	0	113	1	28	3	562	27	236	3	235	16	909	16	1247	937	20
SLC44A1	14	483	4	103	25	2980	292	6006	27	2865	54	4255	39	7518	5083	114
SLC44A2	18	741	7	114	38	3851	389	3650	31	3341	111	5613	63	6823	6657	96
SLC44A3	5	158	4	145	6	774	194	3646	12	3650	18	1924	20	4193	1727	24
